place of birth,age group,gender,year,province of residence,concept,value
in another autonomous community,30-34,total,2011,Pontevedra,population,3622
in another autonomous community,30-34,male,2001,total,population,5757
in another autonomous community,30-34,male,2001,A Coruña,population,2398
in another autonomous community,30-34,male,2001,Lugo,population,937
in another autonomous community,30-34,male,2001,Ourense,population,741
in another autonomous community,30-34,male,2001,Pontevedra,population,1681
in another autonomous community,30-34,male,2011,total,population,6462
in another autonomous community,30-34,male,2011,A Coruña,population,2652
in another autonomous community,30-34,male,2011,Lugo,population,1160
in another autonomous community,30-34,male,2011,Ourense,population,827
in another autonomous community,30-34,male,2011,Pontevedra,population,1823
in another autonomous community,30-34,female,2001,total,population,6291
in another autonomous community,30-34,female,2001,A Coruña,population,2593
in another autonomous community,30-34,female,2001,Lugo,population,1117
in another autonomous community,30-34,female,2001,Ourense,population,839
in another autonomous community,30-34,female,2001,Pontevedra,population,1742
in another autonomous community,30-34,female,2011,total,population,6719
in another autonomous community,30-34,female,2011,A Coruña,population,2868
in another autonomous community,30-34,female,2011,Lugo,population,1148
in another autonomous community,30-34,female,2011,Ourense,population,904
in another autonomous community,30-34,female,2011,Pontevedra,population,1799
in another autonomous community,35-39,total,2001,total,population,12182
in another autonomous community,35-39,total,2001,A Coruña,population,5178
in another autonomous community,35-39,total,2001,Lugo,population,1881
in another autonomous community,35-39,total,2001,Ourense,population,1590
in another autonomous community,35-39,total,2001,Pontevedra,population,3533
in another autonomous community,35-39,total,2011,total,population,15804
in another autonomous community,35-39,total,2011,A Coruña,population,6590
in another autonomous community,35-39,total,2011,Lugo,population,2706
in another autonomous community,35-39,total,2011,Ourense,population,1849
in another autonomous community,35-39,total,2011,Pontevedra,population,4660
in another autonomous community,35-39,male,2001,total,population,5829
in another autonomous community,35-39,male,2001,A Coruña,population,2540
in another autonomous community,35-39,male,2001,Lugo,population,889
in another autonomous community,35-39,male,2001,Ourense,population,721
in another autonomous community,35-39,male,2001,Pontevedra,population,1679
in another autonomous community,35-39,male,2011,total,population,7876
in another autonomous community,35-39,male,2011,A Coruña,population,3319
in another autonomous community,35-39,male,2011,Lugo,population,1320
in another autonomous community,35-39,male,2011,Ourense,population,914
in another autonomous community,35-39,male,2011,Pontevedra,population,2323
in another autonomous community,35-39,female,2001,total,population,6353
in another autonomous community,35-39,female,2001,A Coruña,population,2638
in another autonomous community,35-39,female,2001,Lugo,population,992
in another autonomous community,35-39,female,2001,Ourense,population,869
in another autonomous community,35-39,female,2001,Pontevedra,population,1854
in another autonomous community,35-39,female,2011,total,population,7928
in another autonomous community,35-39,female,2011,A Coruña,population,3271
in another autonomous community,35-39,female,2011,Lugo,population,1386
in another autonomous community,35-39,female,2011,Ourense,population,935
in another autonomous community,35-39,female,2011,Pontevedra,population,2337
in another autonomous community,40-44,total,2001,total,population,11575
in another autonomous community,40-44,total,2001,A Coruña,population,4874
in another autonomous community,40-44,total,2001,Lugo,population,1709
in another autonomous community,40-44,total,2001,Ourense,population,1475
in another autonomous community,40-44,total,2001,Pontevedra,population,3517
in another autonomous community,40-44,total,2011,total,population,14802
in another autonomous community,40-44,total,2011,A Coruña,population,6290
in another autonomous community,40-44,total,2011,Lugo,population,2499
in another autonomous community,40-44,total,2011,Ourense,population,1773
in another autonomous community,40-44,total,2011,Pontevedra,population,4240
in another autonomous community,40-44,male,2001,total,population,5613
in another autonomous community,40-44,male,2001,A Coruña,population,2411
in another autonomous community,40-44,male,2001,Lugo,population,792
in another autonomous community,40-44,male,2001,Ourense,population,660
in another autonomous community,40-44,male,2001,Pontevedra,population,1750
in another autonomous community,40-44,male,2011,total,population,7382
in another autonomous community,40-44,male,2011,A Coruña,population,3139
in another autonomous community,40-44,male,2011,Lugo,population,1187
in another autonomous community,40-44,male,2011,Ourense,population,856
in another autonomous community,40-44,male,2011,Pontevedra,population,2200
in another autonomous community,40-44,female,2001,total,population,5962
in another autonomous community,40-44,female,2001,A Coruña,population,2463
in another autonomous community,40-44,female,2001,Lugo,population,917
in another autonomous community,40-44,female,2001,Ourense,population,815
in another autonomous community,40-44,female,2001,Pontevedra,population,1767
in another autonomous community,40-44,female,2011,total,population,7420
in another autonomous community,40-44,female,2011,A Coruña,population,3151
in another autonomous community,40-44,female,2011,Lugo,population,1312
in another autonomous community,40-44,female,2011,Ourense,population,917
in another autonomous community,40-44,female,2011,Pontevedra,population,2040
in another autonomous community,45-49,total,2001,total,population,10061
in another autonomous community,45-49,total,2001,A Coruña,population,4063
in another autonomous community,45-49,total,2001,Lugo,population,1460
in another autonomous community,45-49,total,2001,Ourense,population,1208
in another autonomous community,45-49,total,2001,Pontevedra,population,3330
in another autonomous community,45-49,total,2011,total,population,13537
in another autonomous community,45-49,total,2011,A Coruña,population,5848
in another autonomous community,45-49,total,2011,Lugo,population,2099
in another autonomous community,45-49,total,2011,Ourense,population,1703
in another autonomous community,45-49,total,2011,Pontevedra,population,3887
in another autonomous community,45-49,male,2001,total,population,5070
in another autonomous community,45-49,male,2001,A Coruña,population,2092
in another autonomous community,45-49,male,2001,Lugo,population,764
in another autonomous community,45-49,male,2001,Ourense,population,587
in another autonomous community,45-49,male,2001,Pontevedra,population,1627
in another autonomous community,45-49,male,2011,total,population,6739
in another autonomous community,45-49,male,2011,A Coruña,population,2983
in another autonomous community,45-49,male,2011,Lugo,population,1011
in another autonomous community,45-49,male,2011,Ourense,population,809
in another autonomous community,45-49,male,2011,Pontevedra,population,1935
in another autonomous community,45-49,female,2001,total,population,4991
in another autonomous community,45-49,female,2001,A Coruña,population,1971
in another autonomous community,45-49,female,2001,Lugo,population,696
in another autonomous community,45-49,female,2001,Ourense,population,621
in another autonomous community,45-49,female,2001,Pontevedra,population,1703
in another autonomous community,45-49,female,2011,total,population,6798
in another autonomous community,45-49,female,2011,A Coruña,population,2864
in another autonomous community,45-49,female,2011,Lugo,population,1088
in another autonomous community,45-49,female,2011,Ourense,population,894
in another autonomous community,45-49,female,2011,Pontevedra,population,1952
in another autonomous community,50-54,total,2001,total,population,9263
in another autonomous community,50-54,total,2001,A Coruña,population,3856
in another autonomous community,50-54,total,2001,Lugo,population,1201
in another autonomous community,50-54,total,2001,Ourense,population,1056
in another autonomous community,50-54,total,2001,Pontevedra,population,3150
in another autonomous community,50-54,total,2011,total,population,12243
in another autonomous community,50-54,total,2011,A Coruña,population,5216
in another autonomous community,50-54,total,2011,Lugo,population,1850
in another autonomous community,50-54,total,2011,Ourense,population,1495
in another autonomous community,50-54,total,2011,Pontevedra,population,3681
in another autonomous community,50-54,male,2001,total,population,4817
in another autonomous community,50-54,male,2001,A Coruña,population,2031
in another autonomous community,50-54,male,2001,Lugo,population,629
in another autonomous community,50-54,male,2001,Ourense,population,521
in another autonomous community,50-54,male,2001,Pontevedra,population,1636
in another autonomous community,50-54,male,2011,total,population,6064
in another autonomous community,50-54,male,2011,A Coruña,population,2645
in another autonomous community,50-54,male,2011,Lugo,population,899
in another autonomous community,50-54,male,2011,Ourense,population,653
in another autonomous community,50-54,male,2011,Pontevedra,population,1867
in another autonomous community,50-54,female,2001,total,population,4446
in another autonomous community,50-54,female,2001,A Coruña,population,1825
in another autonomous community,50-54,female,2001,Lugo,population,572
in another autonomous community,50-54,female,2001,Ourense,population,535
in another autonomous community,50-54,female,2001,Pontevedra,population,1514
in another autonomous community,50-54,female,2011,total,population,6178
in another autonomous community,50-54,female,2011,A Coruña,population,2571
in another autonomous community,50-54,female,2011,Lugo,population,951
in another autonomous community,50-54,female,2011,Ourense,population,842
in another autonomous community,50-54,female,2011,Pontevedra,population,1814
in another autonomous community,55-59,total,2001,total,population,8016
in another autonomous community,55-59,total,2001,A Coruña,population,3370
in another autonomous community,55-59,total,2001,Lugo,population,986
in another autonomous community,55-59,total,2001,Ourense,population,933
in another autonomous community,55-59,total,2001,Pontevedra,population,2727
in another autonomous community,55-59,total,2011,total,population,10508
in another autonomous community,55-59,total,2011,A Coruña,population,4272
in another autonomous community,55-59,total,2011,Lugo,population,1547
in another autonomous community,55-59,total,2011,Ourense,population,1269
in another autonomous community,55-59,total,2011,Pontevedra,population,3419
in another autonomous community,55-59,male,2001,total,population,4120
in another autonomous community,55-59,male,2001,A Coruña,population,1736
in another autonomous community,55-59,male,2001,Lugo,population,485
in another autonomous community,55-59,male,2001,Ourense,population,472
in another autonomous community,55-59,male,2001,Pontevedra,population,1427
in another autonomous community,55-59,male,2011,total,population,5324
in another autonomous community,55-59,male,2011,A Coruña,population,2236
in another autonomous community,55-59,male,2011,Lugo,population,800
in another autonomous community,55-59,male,2011,Ourense,population,614
in another autonomous community,55-59,male,2011,Pontevedra,population,1674
in another autonomous community,55-59,female,2001,total,population,3896
in another autonomous community,55-59,female,2001,A Coruña,population,1634
in another autonomous community,55-59,female,2001,Lugo,population,501
in another autonomous community,55-59,female,2001,Ourense,population,461
in another autonomous community,55-59,female,2001,Pontevedra,population,1300
in another autonomous community,55-59,female,2011,total,population,5184
in another autonomous community,55-59,female,2011,A Coruña,population,2036
in another autonomous community,55-59,female,2011,Lugo,population,747
in another autonomous community,55-59,female,2011,Ourense,population,655
in another autonomous community,55-59,female,2011,Pontevedra,population,1745
in another autonomous community,60-64,total,2001,total,population,5987
in another autonomous community,60-64,total,2001,A Coruña,population,2373
in another autonomous community,60-64,total,2001,Lugo,population,824
in another autonomous community,60-64,total,2001,Ourense,population,748
in another autonomous community,60-64,total,2001,Pontevedra,population,2042
in another autonomous community,60-64,total,2011,total,population,9503
in another autonomous community,60-64,total,2011,A Coruña,population,3953
in another autonomous community,60-64,total,2011,Lugo,population,1287
in another autonomous community,60-64,total,2011,Ourense,population,1115
in another autonomous community,60-64,total,2011,Pontevedra,population,3148
in another autonomous community,60-64,male,2001,total,population,3061
in another autonomous community,60-64,male,2001,A Coruña,population,1218
in another autonomous community,60-64,male,2001,Lugo,population,399
in another autonomous community,60-64,male,2001,Ourense,population,388
in another autonomous community,60-64,male,2001,Pontevedra,population,1056
in another autonomous community,60-64,male,2011,total,population,4987
in another autonomous community,60-64,male,2011,A Coruña,population,2103
in another autonomous community,60-64,male,2011,Lugo,population,694
in another autonomous community,60-64,male,2011,Ourense,population,545
in another autonomous community,60-64,male,2011,Pontevedra,population,1645
in another autonomous community,60-64,female,2001,total,population,2926
in another autonomous community,60-64,female,2001,A Coruña,population,1155
in another autonomous community,60-64,female,2001,Lugo,population,425
in another autonomous community,60-64,female,2001,Ourense,population,360
in another autonomous community,60-64,female,2001,Pontevedra,population,986
in another autonomous community,60-64,female,2011,total,population,4515
in another autonomous community,60-64,female,2011,A Coruña,population,1849
in another autonomous community,60-64,female,2011,Lugo,population,593
in another autonomous community,60-64,female,2011,Ourense,population,570
in another autonomous community,60-64,female,2011,Pontevedra,population,1503
in another autonomous community,65-69,total,2001,total,population,5949
in another autonomous community,65-69,total,2001,A Coruña,population,2397
in another autonomous community,65-69,total,2001,Lugo,population,832
in another autonomous community,65-69,total,2001,Ourense,population,715
in another autonomous community,65-69,total,2001,Pontevedra,population,2005
in another autonomous community,65-69,total,2011,total,population,8212
in another autonomous community,65-69,total,2011,A Coruña,population,3412
in another autonomous community,65-69,total,2011,Lugo,population,1075
in another autonomous community,65-69,total,2011,Ourense,population,1009
in another autonomous community,65-69,total,2011,Pontevedra,population,2716
in another autonomous community,65-69,male,2001,total,population,2920
in another autonomous community,65-69,male,2001,A Coruña,population,1195
in another autonomous community,65-69,male,2001,Lugo,population,365
in another autonomous community,65-69,male,2001,Ourense,population,330
in another autonomous community,65-69,male,2001,Pontevedra,population,1030
in another autonomous community,65-69,male,2011,total,population,4278
in another autonomous community,65-69,male,2011,A Coruña,population,1761
in another autonomous community,65-69,male,2011,Lugo,population,554
in another autonomous community,65-69,male,2011,Ourense,population,515
in another autonomous community,65-69,male,2011,Pontevedra,population,1449
in another autonomous community,65-69,female,2001,total,population,3029
in another autonomous community,65-69,female,2001,A Coruña,population,1202
in another autonomous community,65-69,female,2001,Lugo,population,467
in another autonomous community,65-69,female,2001,Ourense,population,385
in another autonomous community,65-69,female,2001,Pontevedra,population,975
in another autonomous community,65-69,female,2011,total,population,3934
in another autonomous community,65-69,female,2011,A Coruña,population,1652
in another autonomous community,65-69,female,2011,Lugo,population,521
in another autonomous community,65-69,female,2011,Ourense,population,494
in another autonomous community,65-69,female,2011,Pontevedra,population,1267
in another autonomous community,70-74,total,2001,total,population,4897
in another autonomous community,70-74,total,2001,A Coruña,population,1964
in another autonomous community,70-74,total,2001,Lugo,population,758
in another autonomous community,70-74,total,2001,Ourense,population,626
in another autonomous community,70-74,total,2001,Pontevedra,population,1549
in another autonomous community,70-74,total,2011,total,population,5856
in another autonomous community,70-74,total,2011,A Coruña,population,2271
in another autonomous community,70-74,total,2011,Lugo,population,869
in another autonomous community,70-74,total,2011,Ourense,population,733
in another autonomous community,70-74,total,2011,Pontevedra,population,1983
in another autonomous community,70-74,male,2001,total,population,2176
in another autonomous community,70-74,male,2001,A Coruña,population,876
in another autonomous community,70-74,male,2001,Lugo,population,309
in another autonomous community,70-74,male,2001,Ourense,population,297
in another autonomous community,70-74,male,2001,Pontevedra,population,694
in another autonomous community,70-74,male,2011,total,population,2903
in another autonomous community,70-74,male,2011,A Coruña,population,1125
in another autonomous community,70-74,male,2011,Lugo,population,417
in another autonomous community,70-74,male,2011,Ourense,population,372
in another autonomous community,70-74,male,2011,Pontevedra,population,989
in another autonomous community,70-74,female,2001,total,population,2721
in another autonomous community,70-74,female,2001,A Coruña,population,1088
in another autonomous community,70-74,female,2001,Lugo,population,449
in another autonomous community,70-74,female,2001,Ourense,population,329
in another autonomous community,70-74,female,2001,Pontevedra,population,855
in another autonomous community,70-74,female,2011,total,population,2953
in another autonomous community,70-74,female,2011,A Coruña,population,1145
in another autonomous community,70-74,female,2011,Lugo,population,453
in another autonomous community,70-74,female,2011,Ourense,population,361
in another autonomous community,70-74,female,2011,Pontevedra,population,994
in another autonomous community,75-79,total,2001,total,population,3652
in another autonomous community,75-79,total,2001,A Coruña,population,1449
in another autonomous community,75-79,total,2001,Lugo,population,578
in another autonomous community,75-79,total,2001,Ourense,population,449
in another autonomous community,75-79,total,2001,Pontevedra,population,1176
in another autonomous community,75-79,total,2011,total,population,5398
in another autonomous community,75-79,total,2011,A Coruña,population,2161
in another autonomous community,75-79,total,2011,Lugo,population,800
in another autonomous community,75-79,total,2011,Ourense,population,647
in another autonomous community,75-79,total,2011,Pontevedra,population,1791
in another autonomous community,75-79,male,2001,total,population,1493
in another autonomous community,75-79,male,2001,A Coruña,population,611
in another autonomous community,75-79,male,2001,Lugo,population,237
in another autonomous community,75-79,male,2001,Ourense,population,182
in another autonomous community,75-79,male,2001,Pontevedra,population,463
in another autonomous community,75-79,male,2011,total,population,2524
in another autonomous community,75-79,male,2011,A Coruña,population,1019
in another autonomous community,75-79,male,2011,Lugo,population,342
in another autonomous community,75-79,male,2011,Ourense,population,289
in another autonomous community,75-79,male,2011,Pontevedra,population,874
in another autonomous community,75-79,female,2001,total,population,2159
in another autonomous community,75-79,female,2001,A Coruña,population,838
in another autonomous community,75-79,female,2001,Lugo,population,341
in another autonomous community,75-79,female,2001,Ourense,population,267
in another autonomous community,75-79,female,2001,Pontevedra,population,713
in another autonomous community,75-79,female,2011,total,population,2874
in another autonomous community,75-79,female,2011,A Coruña,population,1142
in another autonomous community,75-79,female,2011,Lugo,population,458
in another autonomous community,75-79,female,2011,Ourense,population,358
in another autonomous community,75-79,female,2011,Pontevedra,population,917
in another autonomous community,80-84,total,2001,total,population,2554
in another autonomous community,80-84,total,2001,A Coruña,population,989
in another autonomous community,80-84,total,2001,Lugo,population,397
in another autonomous community,80-84,total,2001,Ourense,population,312
in another autonomous community,80-84,total,2001,Pontevedra,population,856
in another autonomous community,80-84,total,2011,total,population,3786
in another autonomous community,80-84,total,2011,A Coruña,population,1496
in another autonomous community,80-84,total,2011,Lugo,population,597
in another autonomous community,80-84,total,2011,Ourense,population,484
in another autonomous community,80-84,total,2011,Pontevedra,population,1209
in another autonomous community,80-84,male,2001,total,population,901
in another autonomous community,80-84,male,2001,A Coruña,population,366
in another autonomous community,80-84,male,2001,Lugo,population,139
in another autonomous community,80-84,male,2001,Ourense,population,110
in another autonomous community,80-84,male,2001,Pontevedra,population,286
in another autonomous community,80-84,male,2011,total,population,1477
in another autonomous community,80-84,male,2011,A Coruña,population,609
in another autonomous community,80-84,male,2011,Lugo,population,219
in another autonomous community,80-84,male,2011,Ourense,population,196
in another autonomous community,80-84,male,2011,Pontevedra,population,453
in another autonomous community,80-84,female,2001,total,population,1653
in another autonomous community,80-84,female,2001,A Coruña,population,623
in another autonomous community,80-84,female,2001,Lugo,population,258
in another autonomous community,80-84,female,2001,Ourense,population,202
in another autonomous community,80-84,female,2001,Pontevedra,population,570
in another autonomous community,80-84,female,2011,total,population,2309
in another autonomous community,80-84,female,2011,A Coruña,population,887
in another autonomous community,80-84,female,2011,Lugo,population,378
in another autonomous community,80-84,female,2011,Ourense,population,288
in another autonomous community,80-84,female,2011,Pontevedra,population,756
in another autonomous community,85-89,total,2001,total,population,1341
in another autonomous community,85-89,total,2001,A Coruña,population,542
in another autonomous community,85-89,total,2001,Lugo,population,216
in another autonomous community,85-89,total,2001,Ourense,population,146
in another autonomous community,85-89,total,2001,Pontevedra,population,437
in another autonomous community,85-89,total,2011,total,population,2314
in another autonomous community,85-89,total,2011,A Coruña,population,876
in another autonomous community,85-89,total,2011,Lugo,population,373
in another autonomous community,85-89,total,2011,Ourense,population,306
in another autonomous community,85-89,total,2011,Pontevedra,population,759
in another autonomous community,85-89,male,2001,total,population,431
in another autonomous community,85-89,male,2001,A Coruña,population,182
in another autonomous community,85-89,male,2001,Lugo,population,61
in another autonomous community,85-89,male,2001,Ourense,population,47
in another autonomous community,85-89,male,2001,Pontevedra,population,141
in another autonomous community,85-89,male,2011,total,population,769
in another autonomous community,85-89,male,2011,A Coruña,population,298
in another autonomous community,85-89,male,2011,Lugo,population,127
in another autonomous community,85-89,male,2011,Ourense,population,108
in another autonomous community,85-89,male,2011,Pontevedra,population,236
in another autonomous community,85-89,female,2001,total,population,910
in another autonomous community,85-89,female,2001,A Coruña,population,360
in another autonomous community,85-89,female,2001,Lugo,population,155
in another autonomous community,85-89,female,2001,Ourense,population,99
in another autonomous community,85-89,female,2001,Pontevedra,population,296
in another autonomous community,85-89,female,2011,total,population,1545
in another autonomous community,85-89,female,2011,A Coruña,population,578
in another autonomous community,85-89,female,2011,Lugo,population,246
in another autonomous community,85-89,female,2011,Ourense,population,198
in another autonomous community,85-89,female,2011,Pontevedra,population,524
in another autonomous community,90-94,total,2001,total,population,451
in another autonomous community,90-94,total,2001,A Coruña,population,170
in another autonomous community,90-94,total,2001,Lugo,population,59
in another autonomous community,90-94,total,2001,Ourense,population,64
in another autonomous community,90-94,total,2001,Pontevedra,population,158
in another autonomous community,90-94,total,2011,total,population,979
in another autonomous community,90-94,total,2011,A Coruña,population,366
in another autonomous community,90-94,total,2011,Lugo,population,150
in another autonomous community,90-94,total,2011,Ourense,population,132
in another autonomous community,90-94,total,2011,Pontevedra,population,330
in another autonomous community,90-94,male,2001,total,population,129
in another autonomous community,90-94,male,2001,A Coruña,population,46
in another autonomous community,90-94,male,2001,Lugo,population,21
in another autonomous community,90-94,male,2001,Ourense,population,22
in another autonomous community,90-94,male,2001,Pontevedra,population,40
in another autonomous community,90-94,male,2011,total,population,249
in another autonomous community,90-94,male,2011,A Coruña,population,102
in another autonomous community,90-94,male,2011,Lugo,population,38
in another autonomous community,90-94,male,2011,Ourense,population,29
in another autonomous community,90-94,male,2011,Pontevedra,population,80
in another autonomous community,90-94,female,2001,total,population,375
in another autonomous community,90-94,female,2001,A Coruña,population,144
in another autonomous community,90-94,female,2001,Lugo,population,49
in another autonomous community,90-94,female,2001,Ourense,population,49
in another autonomous community,90-94,female,2001,Pontevedra,population,133
in another autonomous community,90-94,female,2011,total,population,730
in another autonomous community,90-94,female,2011,A Coruña,population,264
in another autonomous community,90-94,female,2011,Lugo,population,112
in another autonomous community,90-94,female,2011,Ourense,population,103
in another autonomous community,90-94,female,2011,Pontevedra,population,250
in another autonomous community,95-99,total,2001,total,population,123
in another autonomous community,95-99,total,2001,A Coruña,population,45
in another autonomous community,95-99,total,2001,Lugo,population,12
in another autonomous community,95-99,total,2001,Ourense,population,17
in another autonomous community,95-99,total,2001,Pontevedra,population,49
in another autonomous community,95-99,total,2011,total,population,244
in another autonomous community,95-99,total,2011,A Coruña,population,94
in another autonomous community,95-99,total,2011,Lugo,population,41
in another autonomous community,95-99,total,2011,Ourense,population,27
in another autonomous community,95-99,total,2011,Pontevedra,population,83
in another autonomous community,95-99,male,2001,total,population,23
in another autonomous community,95-99,male,2001,A Coruña,population,11
in another autonomous community,95-99,male,2001,Lugo,population,3
in another autonomous community,95-99,male,2001,Ourense,population,4
in another autonomous community,95-99,male,2001,Pontevedra,population,5
in another autonomous community,95-99,male,2011,total,population,44
in another autonomous community,95-99,male,2011,A Coruña,population,17
in another autonomous community,95-99,male,2011,Lugo,population,5
in another autonomous community,95-99,male,2011,Ourense,population,6
in another autonomous community,95-99,male,2011,Pontevedra,population,16
in another autonomous community,95-99,female,2001,total,population,100
in another autonomous community,95-99,female,2001,A Coruña,population,34
in another autonomous community,95-99,female,2001,Lugo,population,9
in another autonomous community,95-99,female,2001,Ourense,population,13
in another autonomous community,95-99,female,2001,Pontevedra,population,44
in another autonomous community,95-99,female,2011,total,population,200
in another autonomous community,95-99,female,2011,A Coruña,population,77
in another autonomous community,95-99,female,2011,Lugo,population,36
in another autonomous community,95-99,female,2011,Ourense,population,21
in another autonomous community,95-99,female,2011,Pontevedra,population,66
in another autonomous community,100+,total,2001,total,population,15
in another autonomous community,100+,total,2001,A Coruña,population,3
in another autonomous community,100+,total,2001,Lugo,population,5
in another autonomous community,100+,total,2001,Ourense,population,4
in another autonomous community,100+,total,2001,Pontevedra,population,3
in another autonomous community,100+,total,2011,total,population,35
in another autonomous community,100+,total,2011,A Coruña,population,15
in another autonomous community,100+,total,2011,Lugo,population,6
in another autonomous community,100+,total,2011,Ourense,population,-
in another autonomous community,100+,total,2011,Pontevedra,population,15
in another autonomous community,100+,male,2001,total,population,3
in another autonomous community,100+,male,2001,A Coruña,population,1
in another autonomous community,100+,male,2001,Lugo,population,2
in another autonomous community,100+,male,2001,Ourense,population,0
in another autonomous community,100+,male,2001,Pontevedra,population,0
in another autonomous community,100+,male,2011,total,population,7
in another autonomous community,100+,male,2011,A Coruña,population,4
in another autonomous community,100+,male,2011,Lugo,population,1
in another autonomous community,100+,male,2011,Ourense,population,-
in another autonomous community,100+,male,2011,Pontevedra,population,2
in another autonomous community,100+,female,2001,total,population,12
in another autonomous community,100+,female,2001,A Coruña,population,2
in another autonomous community,100+,female,2001,Lugo,population,3
in another autonomous community,100+,female,2001,Ourense,population,4
in another autonomous community,100+,female,2001,Pontevedra,population,3
in another autonomous community,100+,female,2011,total,population,28
in another autonomous community,100+,female,2011,A Coruña,population,11
in another autonomous community,100+,female,2011,Lugo,population,5
in another autonomous community,100+,female,2011,Ourense,population,-
in another autonomous community,100+,female,2011,Pontevedra,population,13
abroad,total,total,2001,total,population,114114
abroad,total,total,2001,A Coruña,population,42120
abroad,total,total,2001,Lugo,population,9913
abroad,total,total,2001,Ourense,population,23165
abroad,total,total,2001,Pontevedra,population,38916
abroad,total,total,2011,total,population,213145
abroad,total,total,2011,A Coruña,population,82727
abroad,total,total,2011,Lugo,population,22138
abroad,total,total,2011,Ourense,population,34318
abroad,total,total,2011,Pontevedra,population,73962
abroad,total,male,2001,total,population,53577
abroad,total,male,2001,A Coruña,population,19788
abroad,total,male,2001,Lugo,population,4521
abroad,total,male,2001,Ourense,population,11017
abroad,total,male,2001,Pontevedra,population,18251
abroad,total,male,2011,total,population,103726
abroad,total,male,2011,A Coruña,population,39430
abroad,total,male,2011,Lugo,population,10920
abroad,total,male,2011,Ourense,population,16715
abroad,total,male,2011,Pontevedra,population,36660
abroad,total,female,2001,total,population,60537
abroad,total,female,2001,A Coruña,population,22332
abroad,total,female,2001,Lugo,population,5392
abroad,total,female,2001,Ourense,population,12148
abroad,total,female,2001,Pontevedra,population,20665
abroad,total,female,2011,total,population,109419
abroad,total,female,2011,A Coruña,population,43297
abroad,total,female,2011,Lugo,population,11218
abroad,total,female,2011,Ourense,population,17602
abroad,total,female,2011,Pontevedra,population,37302
abroad,0-4,total,2001,total,population,2128
abroad,0-4,total,2001,A Coruña,population,898
abroad,0-4,total,2001,Lugo,population,133
abroad,0-4,total,2001,Ourense,population,379
abroad,0-4,total,2001,Pontevedra,population,718
abroad,0-4,total,2011,total,population,1811
abroad,0-4,total,2011,A Coruña,population,754
abroad,0-4,total,2011,Lugo,population,177
abroad,0-4,total,2011,Ourense,population,207
abroad,0-4,total,2011,Pontevedra,population,672
abroad,0-4,male,2001,total,population,1087
abroad,0-4,male,2001,A Coruña,population,445
abroad,0-4,male,2001,Lugo,population,69
abroad,0-4,male,2001,Ourense,population,195
abroad,0-4,male,2001,Pontevedra,population,378
abroad,0-4,male,2011,total,population,920
abroad,0-4,male,2011,A Coruña,population,396
abroad,0-4,male,2011,Lugo,population,84
abroad,0-4,male,2011,Ourense,population,94
abroad,0-4,male,2011,Pontevedra,population,347
abroad,0-4,female,2001,total,population,1041
abroad,0-4,female,2001,A Coruña,population,453
abroad,0-4,female,2001,Lugo,population,64
abroad,0-4,female,2001,Ourense,population,184
abroad,0-4,female,2001,Pontevedra,population,340
abroad,0-4,female,2011,total,population,891
abroad,0-4,female,2011,A Coruña,population,359
abroad,0-4,female,2011,Lugo,population,93
abroad,0-4,female,2011,Ourense,population,114
abroad,0-4,female,2011,Pontevedra,population,325
abroad,5-9,total,2001,total,population,4649
abroad,5-9,total,2001,A Coruña,population,1983
abroad,5-9,total,2001,Lugo,population,302
abroad,5-9,total,2001,Ourense,population,871
abroad,5-9,total,2001,Pontevedra,population,1493
abroad,5-9,total,2011,total,population,5901
abroad,5-9,total,2011,A Coruña,population,2515
abroad,5-9,total,2011,Lugo,population,673
abroad,5-9,total,2011,Ourense,population,699
abroad,5-9,total,2011,Pontevedra,population,2015
abroad,5-9,male,2001,total,population,2455
abroad,5-9,male,2001,A Coruña,population,1069
abroad,5-9,male,2001,Lugo,population,156
abroad,5-9,male,2001,Ourense,population,473
abroad,5-9,male,2001,Pontevedra,population,757
abroad,5-9,male,2011,total,population,2856
abroad,5-9,male,2011,A Coruña,population,1197
abroad,5-9,male,2011,Lugo,population,304
abroad,5-9,male,2011,Ourense,population,349
abroad,5-9,male,2011,Pontevedra,population,1007
abroad,5-9,female,2001,total,population,2194
abroad,5-9,female,2001,A Coruña,population,914
abroad,5-9,female,2001,Lugo,population,146
abroad,5-9,female,2001,Ourense,population,398
abroad,5-9,female,2001,Pontevedra,population,736
abroad,5-9,female,2011,total,population,3045
abroad,5-9,female,2011,A Coruña,population,1318
abroad,5-9,female,2011,Lugo,population,369
abroad,5-9,female,2011,Ourense,population,350
abroad,5-9,female,2011,Pontevedra,population,1008
abroad,10-14,total,2001,total,population,6595
abroad,10-14,total,2001,A Coruña,population,2637
abroad,10-14,total,2001,Lugo,population,486
abroad,10-14,total,2001,Ourense,population,1419
abroad,10-14,total,2001,Pontevedra,population,2053
abroad,10-14,total,2011,total,population,9329
abroad,10-14,total,2011,A Coruña,population,3878
abroad,10-14,total,2011,Lugo,population,1063
abroad,10-14,total,2011,Ourense,population,1253
abroad,10-14,total,2011,Pontevedra,population,3135
abroad,10-14,male,2001,total,population,3332
abroad,10-14,male,2001,A Coruña,population,1341
abroad,10-14,male,2001,Lugo,population,248
abroad,10-14,male,2001,Ourense,population,702
abroad,10-14,male,2001,Pontevedra,population,1041
abroad,10-14,male,2011,total,population,4832
